ID,Title,Severity,Category,Package,Affected_Versions,CVE_ID,CVSS_Score,Project,Is_Direct,Description,Recommendation,Status
DEP-011,Dockerode Inherits Transitive uuid CVE,P3-MODERATE,Supply Chain,dockerode,4.0.3 - 4.0.12,CVE-uuid,7.5,platform/orchestrator,true,"Inherits CVE from uuid dependency, requires major version upgrade to dockerode 5+",Upgrade dockerode to >=5.0.1 (requires API compatibility testing),UNRESOLVED
DEP-012,QS Multiple DoS Vulnerabilities,P3-MODERATE,CVE,qs,"2.2.5 - 6.15.3","GHSA-q8mj-m7cp-5q26, GHSA-x5fp-wj9c-mxmx, GHSA-4mjr-xmp4-gh2g",5.3,platform/orchestrator,false,"Multiple DoS: qs.stringify crashes on null/undefined entries, array-limit bypass, attacker-controlled isBuffer",Upgrade qs to latest version,UNRESOLVED
DEP-013,Body-Parser DoS via Invalid Limit Value,P3-MODERATE,CVE,body-parser,<1.20.6,GHSA-v422-hmwv-36x6,3.7,"Source/Backend, platform/orchestrator",false,"Invalid limit value silently disables size enforcement, allowing unbounded request bodies and DoS",Upgrade body-parser to >=1.20.6,UNRESOLVED
DEP-014,Babel Core Arbitrary File Read,P3-LOW,CVE,@babel/core,<=7.29.0,GHSA-4x5r-pxfx-6jf8,3.2,"Source/Backend, Source/Frontend",false,"Arbitrary file read via sourceMappingURL comment if untrusted input processed with source maps",Upgrade @babel/core to >=7.29.1,UNRESOLVED
DEP-015,React Major Version Behind,P3-OUTDATED,Outdated,react,"18.3.1; 18.2.0",N/A,N/A,Source/Frontend; portal/Frontend,true,"React 19.2.8 released 15 months ago, missing latest features and security patches",Plan and execute React 18→19 upgrade with comprehensive testing,BACKLOG
DEP-016,React-DOM Major Version Behind,P3-OUTDATED,Outdated,react-dom,"18.3.1; 18.2.0",N/A,N/A,Source/Frontend; portal/Frontend,true,"React-DOM 19.2.8 released 15 months ago, requires React upgrade",Plan and execute react-dom 18→19 upgrade with comprehensive testing,BACKLOG
DEP-017,React-Router-DOM Major Version Behind,P3-OUTDATED,Outdated,react-router-dom,"6.26.0; 6.22.0",N/A,N/A,Source/Frontend; portal/Frontend,true,"React Router 7.18.3 released, Source/Frontend 3 months behind, portal/Frontend 7 months behind",Plan and execute React Router 6→7 upgrade with route compatibility review,BACKLOG
DEP-018,High Transitive Dependency Surface Area,P4-SUPPLY_CHAIN,Supply Chain,Multiple,N/A,N/A,N/A,Source/Frontend,false,"231 transitive dependencies (77x multiplier on 3 direct) due to build toolchain complexity - high attack surface",Evaluate build tool dependencies, consider monorepo lock file strategy,MONITORING
DEP-019,Large Backend Dependency Count,P4-SUPPLY_CHAIN,Supply Chain,Multiple,N/A,N/A,N/A,Source/Backend,false,"412 transitive dependencies (12x multiplier on 13 direct) - largest absolute count across projects",Review and minimize build dependencies, implement dependency monitoring,MONITORING
DEP-020,Portal Backend Audit Incomplete,P4-PENDING,Audit Pending,Unknown,Unknown,Unknown,Unknown,portal/Backend,false,"Npm audit command timed out during execution - full vulnerability scan incomplete","Rerun audit with increased timeout or use --dry-run flag",PENDING
DEP-021,Portal Frontend Audit Incomplete,P4-PENDING,Audit Pending,Unknown,Unknown,Unknown,Unknown,portal/Frontend,false,"Npm audit command timed out during execution - full vulnerability scan incomplete","Rerun audit with increased timeout or use --dry-run flag",PENDING
